产品编号,工序步骤,参数名称,标准值,上限,下限,单位,控制级别,监控方式
HD-W111,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W111,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W111,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W111,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W111,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W111,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W111,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W111,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W111,5.终点控制,成品粘度,134670,148137,121203,mPa·s,关键,在线粘度计+化验
HD-W111,5.终点控制,固含量,33.5,34.5,32.5,%,关键,化验每批
HD-W112,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-W112,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-W112,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-W112,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-W112,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-W112,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-W112,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-W112,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-W112,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-W112,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-W112,5.终点控制,成品粘度,109082,119990,98173,mPa·s,关键,在线粘度计+化验
HD-W112,5.终点控制,固含量,34.5,35.5,33.5,%,关键,化验每批
HD-G201,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G201,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G201,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G201,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G201,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G201,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G201,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G201,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G201,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G201,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G201,5.终点控制,成品粘度,63484,69832,57135,mPa·s,关键,在线粘度计+化验
HD-G201,5.终点控制,固含量,32.5,33.5,31.5,%,关键,化验每批
HD-G202,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G202,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G202,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G202,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G202,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G202,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G202,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G202,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G202,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G202,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G202,5.终点控制,成品粘度,79831,87814,71847,mPa·s,关键,在线粘度计+化验
HD-G202,5.终点控制,固含量,31.4,32.4,30.4,%,关键,化验每批
HD-G203,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G203,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G203,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G203,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G203,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G203,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G203,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G203,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G203,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G203,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G203,5.终点控制,成品粘度,91544,100698,82389,mPa·s,关键,在线粘度计+化验
HD-G203,5.终点控制,固含量,32.1,33.1,31.1,%,关键,化验每批
HD-G204,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G204,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G204,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G204,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G204,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G204,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G204,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G204,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G204,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G204,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G204,5.终点控制,成品粘度,68616,75477,61754,mPa·s,关键,在线粘度计+化验
HD-G204,5.终点控制,固含量,32.6,33.6,31.6,%,关键,化验每批
HD-G205,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G205,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G205,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G205,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G205,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G205,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G205,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G205,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G205,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G205,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G205,5.终点控制,成品粘度,92525,101777,83272,mPa·s,关键,在线粘度计+化验
HD-G205,5.终点控制,固含量,39.4,40.4,38.4,%,关键,化验每批
HD-G206,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G206,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G206,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G206,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G206,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G206,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G206,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G206,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G206,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G206,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G206,5.终点控制,成品粘度,103974,114371,93576,mPa·s,关键,在线粘度计+化验
HD-G206,5.终点控制,固含量,32.2,33.2,31.200000000000003,%,关键,化验每批
HD-G207,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G207,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G207,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G207,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G207,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G207,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G207,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G207,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G207,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G207,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G207,5.终点控制,成品粘度,99878,109865,89890,mPa·s,关键,在线粘度计+化验
HD-G207,5.终点控制,固含量,36.1,37.1,35.1,%,关键,化验每批
HD-G208,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G208,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G208,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G208,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G208,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G208,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G208,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G208,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G208,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G208,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G208,5.终点控制,成品粘度,94246,103670,84821,mPa·s,关键,在线粘度计+化验
HD-G208,5.终点控制,固含量,37.8,38.8,36.8,%,关键,化验每批
HD-G209,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G209,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G209,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G209,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G209,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G209,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G209,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G209,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G209,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G209,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G209,5.终点控制,成品粘度,86242,94866,77617,mPa·s,关键,在线粘度计+化验
HD-G209,5.终点控制,固含量,35.8,36.8,34.8,%,关键,化验每批
HD-G210,1.多元醇脱水,脱水温度,110,118,100,℃,关键,DCS连续记录
HD-G210,1.多元醇脱水,真空度,-0.095,-0.09,-0.098,MPa,关键,真空表
HD-G210,1.多元醇脱水,水分(出料),≤0.05,0.05,,%,关键,卡尔费休每批检测
HD-G210,2.预聚,预聚温度,78,82,74,℃,关键,DCS连续记录
HD-G210,2.预聚,预聚时间,2.5,3.0,2.0,h,重要,DCS
HD-G210,2.预聚,中控NCO%,理论值±0.3,,,%,关键,滴定法每批
HD-G210,3.扩链,扩链温度,65,72,55,℃,重要,DCS
HD-G210,3.扩链,扩链剂滴加时间,30,45,20,min,一般,DCS
HD-G210,4.稀释,稀释温度,≤50,50,,℃,重要,DCS
HD-G210,4.稀释,搅拌转速,80,100,60,rpm,一般,变频器
HD-G210,5.终点控制,成品粘度,78036,85839,70232,mPa·s,关键,在线粘度计+化验
HD-G210,5.终点控制,固含量,38.7,39.7,37.7,%,关键,化验每批
HD-S301,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S301,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S301,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S301,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S301,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S301,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S301,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S301,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S301,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-S302,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S302,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S302,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S302,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S302,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S302,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S302,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S302,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S302,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-S303,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S303,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S303,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S303,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S303,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S303,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S303,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S303,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S303,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-S304,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S304,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S304,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S304,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S304,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S304,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S304,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S304,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S304,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-S305,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S305,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S305,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S305,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S305,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S305,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S305,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S305,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S305,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-S306,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S306,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S306,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S306,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S306,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S306,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S306,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S306,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S306,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-S307,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S307,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S307,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S307,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S307,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S307,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S307,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S307,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S307,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-S308,1.预聚,NCO/OH比,1.8,2.2,1.35,mol/mol,关键,投料复核
HD-S308,1.预聚,DMPA用量,4.2,5.5,3.0,%,关键,计量秤
HD-S308,1.预聚,预聚温度,80,85,75,℃,关键,DCS
HD-S308,2.中和,中和度,100,108,95,%,重要,pH复核
HD-S308,3.乳化,乳化转速,1800,2500,1200,rpm,关键,变频器
HD-S308,3.乳化,去离子水温度,25,35,15,℃,一般,温度计
HD-S308,4.扩链,乙二胺滴加时间,20,30,10,min,重要,DCS
HD-S308,5.终点,pH,8.0,9.0,7.0,,关键,pH计每批
HD-S308,5.终点,粒径,120,200,60,nm,重要,激光粒度仪
HD-N401,A组分,预聚NCO%,12.0,13.5,10.5,%,关键,滴定每批
HD-N401,A组分,预聚温度,80,85,75,℃,关键,DCS
HD-N401,B组分,羟值,220,240,200,mgKOH/g,关键,滴定每批
HD-N401,B组分,催化剂用量,0.05,0.08,0.02,%,重要,计量秤
HD-N401,应用,A/B混合比(质量),100:70,100:80,100:60,,关键,计量泵
HD-N401,应用,可操作时间(25℃),30,40,20,min,重要,凝胶时间测定
HD-N402,A组分,预聚NCO%,12.0,13.5,10.5,%,关键,滴定每批
HD-N402,A组分,预聚温度,80,85,75,℃,关键,DCS
HD-N402,B组分,羟值,220,240,200,mgKOH/g,关键,滴定每批
HD-N402,B组分,催化剂用量,0.05,0.08,0.02,%,重要,计量秤
HD-N402,应用,A/B混合比(质量),100:70,100:80,100:60,,关键,计量泵
HD-N402,应用,可操作时间(25℃),30,40,20,min,重要,凝胶时间测定
HD-N403,A组分,预聚NCO%,12.0,13.5,10.5,%,关键,滴定每批
HD-N403,A组分,预聚温度,80,85,75,℃,关键,DCS
HD-N403,B组分,羟值,220,240,200,mgKOH/g,关键,滴定每批
