案例编号,发生日期,类型,涉及产品,涉及批次,客户(虚构),问题现象,严重度,根因类别(人机料法环测),根因描述,临时/纠正措施,根本/预防措施,验证结果,关闭状态,损失金额(元)
CA-2025-016,2025-01-05,客诉,HD-W102,HD-W102-2501-03,晋江森源合成革有限公司,客户反馈剥离强度低于协议值,重大,法,客户贴合温度偏低(110℃ vs 建议≥130℃)，粘接层未充分活化,现场工艺辅导，临时提供低活化温度牌号,产品TDS增加贴合温度窗口警示；开发低活化温度牌号,跟踪中,验证中,282700
CA-2026-017,2026-07-25,过程异常,HD-S303,HD-S303-2607-05,,水性树脂乳化后粒径粗、有絮状物,严重,法,乳化水温过低(12℃)且转速不足，相反转不完全,该批过滤后降级,乳化水温控制25-35℃；转速≥1500rpm；增加粒径中控,跟踪中,验证中,144611
CA-2025-018,2025-10-06,研发失败,HD-G205,HD-G205-2510-01,,生物基多元醇替代50%后耐水解骤降,一般,料,生物基聚酯多元醇酯键密度高且含残余催化酸,替代比例降至30%,生物基路线限定≤30%并复配PCDL；中和残余酸值,措施有效，同类问题3个月未再发生,已关闭,25926
CA-2025-019,2025-01-30,过程异常,HD-S302,HD-S302-2501-06,,成品色值APHA由30升至80,一般,环,高温季节釜顶氮封压力不足，氧化发色,该批用于深色革,氮封压力报警值上调；高温季增加色值中控频次,措施有效，同类问题3个月未再发生,已关闭,22618
CA-2025-020,2025-09-16,客诉,HD-N402,HD-N402-2509-12,丽水瑞尔革业有限公司,无溶剂贴合树脂可操作时间过短,一般,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,措施有效，同类问题3个月未再发生,已关闭,18053
CA-2025-021,2025-12-28,客诉,HD-G207,HD-G207-2512-04,海宁恒丰超纤材料有限公司,成品革DMF残留检测1200ppm超标,轻微,环,客户烘干线温度不足(130℃)且车速过快，DMF脱出不充分,建议客户调整烘干参数并复检,向客户提供烘干工艺建议书；开发低DMF配方(HD-W109),措施有效，同类问题3个月未再发生,已关闭,3819
CA-2026-022,2026-08-07,客诉,HD-W111,HD-W111-2608-03,丽水嘉禾合成革有限公司,箱包革贴合后48h开胶,重大,测,客户用错A/B配比(100:45)，固化不充分,现场纠正配比并培训,包装桶增加醒目配比标签；提供计量泵校准服务,措施有效，同类问题3个月未再发生,已关闭,180216
CA-2025-023,2025-04-30,来料,HD-G209,HD-G209-2504-10,,纯MDI桶装料出现结晶,一般,环,冬季运输温度低于15℃，MDI自然结晶,60℃烘房熔融后使用,冬季到货先入保温库；TDS明确熔融工艺(≤65℃/4h),措施有效，同类问题3个月未再发生,已关闭,9574
CA-2024-024,2024-11-26,过程异常,HD-W106,HD-W106-2411-10,,水性树脂储存2周后增稠结皮,严重,环,夏季库温超35℃加速增稠；包装桶密封不良,冷藏发运，优先消化库存,成品库温≤30℃；包装桶气密性抽检；保质期修订为6个月,措施有效，同类问题3个月未再发生,已关闭,119785
CA-2024-025,2024-12-16,客诉,HD-G201,HD-G201-2412-01,东莞嘉禾超纤材料有限公司,汽车革耐水解抽检4周保持率仅58%,轻微,料,该批使用PBA体系且抗水解剂漏加,召回同批产品，换PCDL体系树脂,汽车革订单强制PCDL+抗水解剂1.0%；投料扫码防错,措施有效，同类问题3个月未再发生,已关闭,280
CA-2024-026,2024-09-25,客诉,HD-T505,HD-T505-2409-12,晋江联创合成革有限公司,服装革手感偏硬、悬垂性差,一般,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,措施有效，同类问题3个月未再发生,已关闭,11944
CA-2025-027,2025-06-28,客诉,HD-S301,HD-S301-2506-04,成都美佳合成革有限公司,沙发革低温(-10℃)弯折开裂,一般,料,PPG体系玻璃化温度偏高，低温韧性不足,换PTMEG体系牌号,寒区订单推荐PTMEG/PCDL体系；增加-20℃耐折出厂抽检,措施有效，同类问题3个月未再发生,已关闭,39650
CA-2025-028,2025-07-01,过程异常,HD-S305,HD-S305-2507-04,,反应釜内出现凝胶颗粒,一般,法,扩链剂滴加速度过快局部R值过高，形成高交联凝胶,过滤后降级用于低档产品,修订SOP：滴加时间≥30min且温度≤65℃；增加釜内视镜检查频次,跟踪中,措施实施中,18949
CA-2025-029,2025-06-08,客诉,HD-T501,HD-T501-2506-06,嘉兴华宇合成革有限公司,客户反馈剥离强度低于协议值,一般,法,客户贴合温度偏低(110℃ vs 建议≥130℃)，粘接层未充分活化,现场工艺辅导，临时提供低活化温度牌号,产品TDS增加贴合温度窗口警示；开发低活化温度牌号,措施有效，同类问题3个月未再发生,已关闭,48840
CA-2025-030,2025-03-11,来料,HD-S303,HD-S303-2503-06,,纯MDI桶装料出现结晶,一般,环,冬季运输温度低于15℃，MDI自然结晶,60℃烘房熔融后使用,冬季到货先入保温库；TDS明确熔融工艺(≤65℃/4h),跟踪中,验证中,39878
CA-2025-031,2025-03-01,过程异常,HD-T506,HD-T506-2503-01,,成品粘度超出工艺卡上限,一般,料,多元醇/溶剂含水超标，额外消耗NCO导致实际R值升高、扩链过度,该批降等处理；加测同批原料水分,原料入厂水分检验加严至≤0.03%；溶剂储罐增加氮封,跟踪中,验证中,35416
CA-2024-032,2024-11-11,过程异常,HD-S308,HD-S308-2411-06,,批次间100%模量波动达±15%,一般,料,两供应商多元醇羟值偏差(56 vs 53 mgKOH/g)未折算投料,按实测羟值折算该批投料,建立羟值-投料量折算表；每供应商每批必检羟值,措施有效，同类问题3个月未再发生,已关闭,44831
CA-2025-033,2025-12-02,客诉,HD-W107,HD-W107-2512-06,海宁恒丰超纤材料有限公司,服装革手感偏硬、悬垂性差,重大,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,跟踪中,验证中,309821
CA-2025-034,2025-01-13,客诉,HD-S306,HD-S306-2501-03,桐乡永盛革业有限公司,客户反馈剥离强度低于协议值,重大,法,客户贴合温度偏低(110℃ vs 建议≥130℃)，粘接层未充分活化,现场工艺辅导，临时提供低活化温度牌号,产品TDS增加贴合温度窗口警示；开发低活化温度牌号,跟踪中,措施实施中,295206
CA-2025-035,2025-01-28,过程异常,HD-S304,HD-S304-2501-06,,TPU挤出熔体破裂、粒子带泡,一般,料,多元醇脱水不彻底(水分0.08%)，熔融水解起泡,该批回料降级,脱水时间延长至3h；在线水分仪每2h记录,措施有效，同类问题3个月未再发生,已关闭,33674
CA-2025-036,2025-09-02,客诉,HD-T506,HD-T506-2509-07,丽水瑞尔超纤材料有限公司,无溶剂贴合树脂可操作时间过短,一般,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,措施有效，同类问题3个月未再发生,已关闭,8962
CA-2025-037,2025-09-14,客诉,HD-T503,HD-T503-2509-05,丽水森源新材料有限公司,白色运动鞋革存放3个月后黄变,严重,法,浅色革误用芳族(MDI)体系面层，未添加UV吸收剂,换用耐黄变牌号HD-G205补货,浅色/白色革一律采用脂族体系；面层配方强制添加UV-327,措施有效，同类问题3个月未再发生,已关闭,136826
CA-2024-038,2024-11-06,研发失败,HD-T502,HD-T502-2411-06,,生物基多元醇替代50%后耐水解骤降,轻微,料,生物基聚酯多元醇酯键密度高且含残余催化酸,替代比例降至30%,生物基路线限定≤30%并复配PCDL；中和残余酸值,措施有效，同类问题3个月未再发生,已关闭,6637
CA-2026-039,2026-05-28,客诉,HD-W102,HD-W102-2605-02,泉州永盛合成革有限公司,汽车革耐水解抽检4周保持率仅58%,一般,料,该批使用PBA体系且抗水解剂漏加,召回同批产品，换PCDL体系树脂,汽车革订单强制PCDL+抗水解剂1.0%；投料扫码防错,措施有效，同类问题3个月未再发生,已关闭,35157
CA-2026-040,2026-07-26,过程异常,HD-G204,HD-G204-2607-02,,TPU挤出熔体破裂、粒子带泡,一般,料,多元醇脱水不彻底(水分0.08%)，熔融水解起泡,该批回料降级,脱水时间延长至3h；在线水分仪每2h记录,跟踪中,措施实施中,30555
CA-2025-041,2025-02-08,过程异常,HD-W102,HD-W102-2502-02,,收率连续一周低于97%,轻微,机,反应釜底阀内漏，放料残留增多,停机更换底阀,底阀列入月度点检；收率纳入班组KPI,措施有效，同类问题3个月未再发生,已关闭,3177
CA-2025-042,2025-09-19,客诉,HD-W110,HD-W110-2509-04,晋江森源合成革有限公司,白色运动鞋革存放3个月后黄变,严重,法,浅色革误用芳族(MDI)体系面层，未添加UV吸收剂,换用耐黄变牌号HD-G205补货,浅色/白色革一律采用脂族体系；面层配方强制添加UV-327,措施有效，同类问题3个月未再发生,已关闭,142999
CA-2024-043,2024-10-25,客诉,HD-S301,HD-S301-2410-09,丽水森源新材料有限公司,沙发革低温(-10℃)弯折开裂,严重,料,PPG体系玻璃化温度偏高，低温韧性不足,换PTMEG体系牌号,寒区订单推荐PTMEG/PCDL体系；增加-20℃耐折出厂抽检,跟踪中,验证中,101183
CA-2025-044,2025-02-03,客诉,HD-W112,HD-W112-2502-05,东莞嘉禾超纤材料有限公司,无溶剂贴合树脂可操作时间过短,严重,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,措施有效，同类问题3个月未再发生,已关闭,77978
CA-2025-045,2025-01-05,研发失败,HD-W101,HD-W101-2501-07,,生物基多元醇替代50%后耐水解骤降,一般,料,生物基聚酯多元醇酯键密度高且含残余催化酸,替代比例降至30%,生物基路线限定≤30%并复配PCDL；中和残余酸值,措施有效，同类问题3个月未再发生,已关闭,17506
CA-2026-046,2026-03-14,客诉,HD-T506,HD-T506-2603-12,桐乡恒丰合成革有限公司,汽车革耐水解抽检4周保持率仅58%,一般,料,该批使用PBA体系且抗水解剂漏加,召回同批产品，换PCDL体系树脂,汽车革订单强制PCDL+抗水解剂1.0%；投料扫码防错,措施有效，同类问题3个月未再发生,已关闭,15808
CA-2025-047,2025-10-03,研发失败,HD-G208,HD-G208-2510-11,,生物基多元醇替代50%后耐水解骤降,严重,料,生物基聚酯多元醇酯键密度高且含残余催化酸,替代比例降至30%,生物基路线限定≤30%并复配PCDL；中和残余酸值,跟踪中,验证中,168154
CA-2026-048,2026-06-12,来料,HD-W107,HD-W107-2606-06,,纯MDI桶装料出现结晶,一般,环,冬季运输温度低于15℃，MDI自然结晶,60℃烘房熔融后使用,冬季到货先入保温库；TDS明确熔融工艺(≤65℃/4h),跟踪中,措施实施中,37722
CA-2026-049,2026-07-19,过程异常,HD-S304,HD-S304-2607-02,,反应釜内出现凝胶颗粒,一般,法,扩链剂滴加速度过快局部R值过高，形成高交联凝胶,过滤后降级用于低档产品,修订SOP：滴加时间≥30min且温度≤65℃；增加釜内视镜检查频次,措施有效，同类问题3个月未再发生,已关闭,35078
CA-2024-050,2024-09-08,过程异常,HD-G203,HD-G203-2409-03,,批次间100%模量波动达±15%,一般,料,两供应商多元醇羟值偏差(56 vs 53 mgKOH/g)未折算投料,按实测羟值折算该批投料,建立羟值-投料量折算表；每供应商每批必检羟值,跟踪中,验证中,31050
CA-2026-051,2026-03-15,客诉,HD-W102,HD-W102-2603-02,泉州永盛合成革有限公司,白色运动鞋革存放3个月后黄变,一般,法,浅色革误用芳族(MDI)体系面层，未添加UV吸收剂,换用耐黄变牌号HD-G205补货,浅色/白色革一律采用脂族体系；面层配方强制添加UV-327,措施有效，同类问题3个月未再发生,已关闭,20748
CA-2026-052,2026-07-03,过程异常,HD-W109,HD-W109-2607-05,,反应釜内出现凝胶颗粒,一般,法,扩链剂滴加速度过快局部R值过高，形成高交联凝胶,过滤后降级用于低档产品,修订SOP：滴加时间≥30min且温度≤65℃；增加釜内视镜检查频次,跟踪中,验证中,18088
CA-2025-053,2025-04-12,客诉,HD-W102,HD-W102-2504-07,嘉兴天成新材料有限公司,服装革手感偏硬、悬垂性差,轻微,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,跟踪中,措施实施中,7972
CA-2026-054,2026-02-12,客诉,HD-S308,HD-S308-2602-09,桐乡永盛革业有限公司,服装革手感偏硬、悬垂性差,一般,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,跟踪中,验证中,30055
CA-2025-055,2025-06-23,客诉,HD-W102,HD-W102-2506-09,嘉兴鑫隆新材料有限公司,箱包革贴合后48h开胶,一般,测,客户用错A/B配比(100:45)，固化不充分,现场纠正配比并培训,包装桶增加醒目配比标签；提供计量泵校准服务,措施有效，同类问题3个月未再发生,已关闭,28193
CA-2025-056,2025-06-03,过程异常,HD-N404,HD-N404-2506-03,,批次间100%模量波动达±15%,严重,料,两供应商多元醇羟值偏差(56 vs 53 mgKOH/g)未折算投料,按实测羟值折算该批投料,建立羟值-投料量折算表；每供应商每批必检羟值,措施有效，同类问题3个月未再发生,已关闭,52415
CA-2024-057,2024-11-25,过程异常,HD-W109,HD-W109-2411-03,,收率连续一周低于97%,重大,机,反应釜底阀内漏，放料残留增多,停机更换底阀,底阀列入月度点检；收率纳入班组KPI,措施有效，同类问题3个月未再发生,已关闭,248140
CA-2026-058,2026-04-02,过程异常,HD-T502,HD-T502-2604-03,,TPU挤出熔体破裂、粒子带泡,轻微,料,多元醇脱水不彻底(水分0.08%)，熔融水解起泡,该批回料降级,脱水时间延长至3h；在线水分仪每2h记录,措施有效，同类问题3个月未再发生,已关闭,6835
CA-2025-059,2025-04-22,过程异常,HD-W108,HD-W108-2504-06,,水性树脂储存2周后增稠结皮,一般,环,夏季库温超35℃加速增稠；包装桶密封不良,冷藏发运，优先消化库存,成品库温≤30℃；包装桶气密性抽检；保质期修订为6个月,跟踪中,验证中,45807
CA-2026-060,2026-08-19,客诉,HD-G206,HD-G206-2608-11,东莞嘉禾超纤材料有限公司,服装革手感偏硬、悬垂性差,轻微,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,措施有效，同类问题3个月未再发生,已关闭,7536
CA-2025-061,2025-02-24,过程异常,HD-W103,HD-W103-2502-10,,收率连续一周低于97%,一般,机,反应釜底阀内漏，放料残留增多,停机更换底阀,底阀列入月度点检；收率纳入班组KPI,措施有效，同类问题3个月未再发生,已关闭,10894
CA-2024-062,2024-11-04,客诉,HD-S303,HD-S303-2411-04,丽水嘉禾合成革有限公司,沙发革低温(-10℃)弯折开裂,轻微,料,PPG体系玻璃化温度偏高，低温韧性不足,换PTMEG体系牌号,寒区订单推荐PTMEG/PCDL体系；增加-20℃耐折出厂抽检,措施有效，同类问题3个月未再发生,已关闭,1304
CA-2026-063,2026-03-03,客诉,HD-N403,HD-N403-2603-06,晋江联创合成革有限公司,服装革手感偏硬、悬垂性差,严重,料,误用高模量批次(模量上限边缘)，叠加客户减量涂布,调换低模量批次,出厂模量控制由±0.8收窄至±0.5；增加手感评分出厂项目,跟踪中,措施实施中,167986
CA-2025-064,2025-08-02,客诉,HD-S301,HD-S301-2508-11,桐乡恒丰合成革有限公司,无溶剂贴合树脂可操作时间过短,一般,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,措施有效，同类问题3个月未再发生,已关闭,22415
CA-2025-065,2025-02-18,客诉,HD-W107,HD-W107-2502-04,丽水瑞尔革业有限公司,白色运动鞋革存放3个月后黄变,一般,法,浅色革误用芳族(MDI)体系面层，未添加UV吸收剂,换用耐黄变牌号HD-G205补货,浅色/白色革一律采用脂族体系；面层配方强制添加UV-327,措施有效，同类问题3个月未再发生,已关闭,43433
CA-2025-066,2025-11-26,过程异常,HD-S301,HD-S301-2511-09,,成品色值APHA由30升至80,一般,环,高温季节釜顶氮封压力不足，氧化发色,该批用于深色革,氮封压力报警值上调；高温季增加色值中控频次,措施有效，同类问题3个月未再发生,已关闭,11438
CA-2025-067,2025-04-01,客诉,HD-G207,HD-G207-2504-08,海宁天成合成革有限公司,TPU薄膜户外使用半年发黄,轻微,法,芳族TPU用于户外薄膜，耐UV设计不足,换耐黄变TPU(H12MDI体系)试样,户外用途一律推荐脂族牌号；开发耐黄变系列(HD-T506),措施有效，同类问题3个月未再发生,已关闭,7311
CA-2024-068,2024-10-18,客诉,HD-G208,HD-G208-2410-07,东莞恒丰超纤材料有限公司,沙发革低温(-10℃)弯折开裂,轻微,料,PPG体系玻璃化温度偏高，低温韧性不足,换PTMEG体系牌号,寒区订单推荐PTMEG/PCDL体系；增加-20℃耐折出厂抽检,措施有效，同类问题3个月未再发生,已关闭,1953
CA-2026-069,2026-03-26,过程异常,HD-W109,HD-W109-2603-07,,成品粘度超出工艺卡上限,一般,料,多元醇/溶剂含水超标，额外消耗NCO导致实际R值升高、扩链过度,该批降等处理；加测同批原料水分,原料入厂水分检验加严至≤0.03%；溶剂储罐增加氮封,跟踪中,措施实施中,36109
CA-2025-070,2025-09-07,客诉,HD-G202,HD-G202-2509-09,桐乡嘉禾合成革有限公司,客户反馈剥离强度低于协议值,一般,法,客户贴合温度偏低(110℃ vs 建议≥130℃)，粘接层未充分活化,现场工艺辅导，临时提供低活化温度牌号,产品TDS增加贴合温度窗口警示；开发低活化温度牌号,跟踪中,验证中,49855
CA-2024-071,2024-11-12,客诉,HD-W103,HD-W103-2411-09,佛山天成超纤材料有限公司,成品革DMF残留检测1200ppm超标,一般,环,客户烘干线温度不足(130℃)且车速过快，DMF脱出不充分,建议客户调整烘干参数并复检,向客户提供烘干工艺建议书；开发低DMF配方(HD-W109),措施有效，同类问题3个月未再发生,已关闭,28946
CA-2025-072,2025-02-01,研发失败,HD-W102,HD-W102-2502-02,,高固含水性树脂(45%)连续3批凝胶,一般,法,固含过高导致相反转区间变窄，乳化失败,固含回落至40%恢复稳定,固含≥42%需采用预聚体混合法+分段加水，列入DOE再验证,措施有效，同类问题3个月未再发生,已关闭,30783
CA-2024-073,2024-11-03,研发失败,HD-W108,HD-W108-2411-11,,生物基多元醇替代50%后耐水解骤降,一般,料,生物基聚酯多元醇酯键密度高且含残余催化酸,替代比例降至30%,生物基路线限定≤30%并复配PCDL；中和残余酸值,措施有效，同类问题3个月未再发生,已关闭,27197
CA-2025-074,2025-07-27,客诉,HD-W109,HD-W109-2507-06,嘉兴联创超纤材料有限公司,无溶剂贴合树脂可操作时间过短,严重,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,措施有效，同类问题3个月未再发生,已关闭,90379
CA-2026-075,2026-07-05,客诉,HD-W108,HD-W108-2607-02,泉州永盛合成革有限公司,无溶剂贴合树脂可操作时间过短,一般,环,夏季车间温度32℃，催化剂用量未按温度折算,提供夏季配方(催化剂减半),TDS增加温度-催化剂用量对照表,措施有效，同类问题3个月未再发生,已关闭,48183
CA-2026-076,2026-05-24,过程异常,HD-G206,HD-G206-2605-01,,水性树脂储存2周后增稠结皮,一般,环,夏季库温超35℃加速增稠；包装桶密封不良,冷藏发运，优先消化库存,成品库温≤30℃；包装桶气密性抽检；保质期修订为6个月,措施有效，同类问题3个月未再发生,已关闭,46431
CA-2025-077,2025-01-03,客诉,HD-N403,HD-N403-2501-08,晋江联创合成革有限公司,客户反馈剥离强度低于协议值,一般,法,客户贴合温度偏低(110℃ vs 建议≥130℃)，粘接层未充分活化,现场工艺辅导，临时提供低活化温度牌号,产品TDS增加贴合温度窗口警示；开发低活化温度牌号,跟踪中,措施实施中,27937
CA-2026-078,2026-02-13,过程异常,HD-N402,HD-N402-2602-05,,成品粘度超出工艺卡上限,一般,料,多元醇/溶剂含水超标，额外消耗NCO导致实际R值升高、扩链过度,该批降等处理；加测同批原料水分,原料入厂水分检验加严至≤0.03%；溶剂储罐增加氮封,跟踪中,验证中,17784
CA-2025-079,2025-06-27,过程异常,HD-S308,HD-S308-2506-03,,水性树脂储存2周后增稠结皮,轻微,环,夏季库温超35℃加速增稠；包装桶密封不良,冷藏发运，优先消化库存,成品库温≤30℃；包装桶气密性抽检；保质期修订为6个月,措施有效，同类问题3个月未再发生,已关闭,3581
CA-2025-080,2025-03-11,过程异常,HD-W102,HD-W102-2503-07,,水性树脂储存2周后增稠结皮,一般,环,夏季库温超35℃加速增稠；包装桶密封不良,冷藏发运，优先消化库存,成品库温≤30℃；包装桶气密性抽检；保质期修订为6个月,措施有效，同类问题3个月未再发生,已关闭,9712
