编号,类型,标题,来源(模拟),年份,主题标签,摘要(模拟),相关性
LIT-021,专利,一种高剥离强度运动鞋革用湿法树脂,CN模拟专利,2024,高剥离,PCL/PEA复配软段+支化扩链，剥离强度≥40N/3cm。,中
LIT-022,专利,一种肤感水性聚氨酯面层树脂,CN模拟专利,2023,肤感,有机硅改性+自消光设计，手感评分≥8，60°光泽≤5。,高
LIT-023,专利,一种高透湿聚氨酯树脂及其制备方法,CN模拟专利,2022,透湿,引入亲水扩链链段，成革透湿量≥3500g/(m²·24h)。,高
LIT-024,专利,一种球革用高回弹聚氨酯树脂,CN模拟专利,2023,球革,PTMEG体系+适度交联，回弹率≥55%。,中
LIT-025,期刊论文,无溶剂聚氨酯贴合工艺温度窗口研究,粘接(模拟),2022,无溶剂,贴合温度每提高10℃，表干时间缩短约35%，可操作时间同步缩短。,高
LIT-026,期刊论文,汽车革低气味配方设计：小分子残留控制,汽车工艺与材料(模拟),2024,汽车革,控制胺类催化剂残留与后熟化工艺可将气味等级降至3.5级以下。,高
LIT-027,期刊论文,水性聚氨酯冻融稳定性改善方法,胶体与聚合物(模拟),2021,水性化,非离子亲水链段复配可显著改善冻融稳定性。,高
LIT-028,会议报告,AI在化工配方设计中的应用展望,行业数字化论坛(模拟),2025,AI应用,以历史实验数据训练配方-性能模型，可缩短新配方筛选周期30-50%。,中
LIT-029,书籍章节,聚合物老化与防老化(节选),高校教材(模拟),2018,老化,湿热老化与光氧老化是聚氨酯革服役失效的两类主导机制。,中
LIT-030,网页资料,马丁代尔耐磨测试常见误差来源,检测技术网(模拟),2023,检测,试样夹持张力与磨料更换周期是误差主因。,中
LIT-031,网页资料,卡尔费休法测定多元醇水分的操作要点,分析测试百科(模拟),2022,检测,取样代表性、环境湿度控制是准确测定的关键。,中
LIT-032,期刊论文,羟值波动对聚氨酯预聚体NCO含量的影响及投料折算方法,聚氨酯(模拟),2021,工艺,给出按实测羟值折算异氰酸酯投料量的计算公式，可将模量批次波动收窄至±5%。,低
LIT-033,期刊论文,扩链剂种类对聚氨酯硬段结构的影响,高分子学报(模拟),2020,配方设计,BDO形成规整硬段利于结晶，EG提升硬度但脆性增大。,中
LIT-034,期刊论文,DMF回收利用的能耗与经济性分析,化工环保(模拟),2023,降本,回收率由80%提升至90%，吨树脂溶剂成本可下降约8%。,低
LIT-035,期刊论文,合成革用树脂储存稳定性评价方法,精细化工(模拟),2022,质量,50℃加速储存14天相当于常温6个月，用于保质期评估。,中
LIT-036,专利,一种快干型无溶剂聚氨酯贴合树脂,CN模拟专利,2024,无溶剂,潜固化剂体系，表干时间≤15min，适用于高速贴合线。,中
LIT-037,专利,一种抗静电电子包装革用聚氨酯树脂,CN模拟专利,2023,电子革,复配导电助剂，表面电阻10^7-10^9Ω。,中
LIT-038,会议报告,超纤革对聚氨酯树脂的性能要求,超纤技术研讨会(模拟),2024,超纤,高含浸量、低模量、耐水解是超纤含浸树脂的核心要求。,中
LIT-039,网页资料,REACH SVHC候选清单更新速递,合规资讯(模拟),2025,法规,定期跟踪SVHC候选物质更新，出口产品需及时筛查。,高
LIT-040,期刊论文,聚氨酯/有机硅杂化手感剂的作用机理,有机硅材料(模拟),2022,手感,有机硅链段向表面迁移降低摩擦系数，赋予滑爽肤感。,中
LIT-041,期刊论文,双螺杆挤出工艺对TPU分子量及性能的影响,塑料工业(模拟),2021,TPU,螺杆温度高于210℃时降解加剧，拉伸强度下降明显。,低
LIT-042,书籍章节,高分子材料测试技术(节选),高校教材(模拟),2020,检测,拉伸、硬度、老化等常用测试方法与误差控制要点。,高
