需求编号,客户名称(虚构),客户类型,应用领域,关键性能要求,剥离要求(N/3cm),耐水解要求(周),耐磨要求(马丁代尔次),环保/认证要求,目标价格(元/kg),预计月用量(吨),收到日期,状态,转化产品编号,对接项目编号
RQ-2024-011,晋江联创合成革有限公司,汽车内饰件厂,密封件,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐油；OEKO-TEX Standard 100,31.5,5,2024-10-07,送样中,HD-T504,
RQ-2024-012,东莞恒丰超纤材料有限公司,薄膜/制品厂,薄膜,耐水解≥4周(70℃×95%RH强度保持率≥70%)；低温柔性,,4,,高透明、耐黄变；REACH SVHC,22.2,15,2024-09-03,已转化,HD-T506,
RQ-2025-013,泉州永盛合成革有限公司,制鞋厂(直供),运动鞋面革,剥离强度≥35N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥17649次；-20℃耐折≥5万次,35,6,17649,ZDHC MRSL合规；ZDHC MRSL,21.0,80,2025-06-16,已转化,HD-W110,
RQ-2026-014,嘉兴天成新材料有限公司,超纤革厂,服装革,剥离强度≥17N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥7255次；-10℃耐折≥3万次,17,3,7255,水性化、手感柔软、高透湿；主机厂认可(汽车),16.1,20,2025-01-08,已转化,HD-S308,RD-2024-003
RQ-2025-015,桐乡永盛革业有限公司,贸易商,鞋底,耐水解≥4周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,4,,耐磨DIN≤70mm³；无特殊要求,19.4,80,2025-06-12,已转化,HD-T503,RD-2024-004
RQ-2024-016,海宁恒丰超纤材料有限公司,制鞋厂(直供),密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；REACH SVHC,29.7,15,2026-02-14,搁置,,
RQ-2025-017,嘉兴联创超纤材料有限公司,贸易商,管材,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐压；GRS(回收),31.0,200,2025-07-31,评估中,,
RQ-2026-018,成都美佳合成革有限公司,薄膜/制品厂,运动鞋面革,剥离强度≥31N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥16691次；-20℃耐折≥5万次,31,5,16691,低DMF；ZDHC MRSL,21.5,200,2026-02-05,评估中,,
RQ-2026-019,桐乡鑫隆超纤材料有限公司,超纤革厂,鞋底,耐水解≥4周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,4,,耐磨DIN≤70mm³；bluesign(可选),19.8,200,2025-06-06,已转化,HD-T503,
RQ-2025-020,丽水瑞尔超纤材料有限公司,薄膜/制品厂,鞋面革,剥离强度≥35N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥12100次；-20℃耐折≥3万次,35,5,12100,低DMF；OEKO-TEX Standard 100,16.9,5,2026-05-12,搁置,,
RQ-2026-021,晋江森源合成革有限公司,贸易商,沙发革,剥离强度≥20N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥21044次；常温耐折≥10万次,20,6,21044,阻燃(可选)、低气味；主机厂认可(汽车),16.6,5,2025-02-20,送样中,HD-S304,
RQ-2025-022,丽水瑞尔革业有限公司,贸易商,管材,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐压；GRS(回收),26.3,10,2025-05-27,评估中,,
RQ-2024-023,桐乡嘉禾合成革有限公司,薄膜/制品厂,球革,剥离强度≥31N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥16632次；-20℃耐折≥5万次,31,5,16632,高回弹；bluesign(可选),21.5,20,2025-05-30,已转化,HD-W111,RD-2025-004
RQ-2026-024,丽水嘉禾合成革有限公司,汽车内饰件厂,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；OEKO-TEX Standard 100,24.3,30,2026-06-26,送样中,HD-T504,
RQ-2024-025,佛山天成超纤材料有限公司,汽车内饰件厂,管材,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐压；bluesign(可选),27.5,80,2025-03-18,评估中,,
RQ-2024-026,桐乡恒丰合成革有限公司,超纤革厂,电子包装革,剥离强度≥28N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥12058次；-10℃耐折≥3万次,28,3,12058,耐折痕；bluesign(可选),22.6,15,2024-09-11,评估中,,
RQ-2026-027,东莞嘉禾超纤材料有限公司,薄膜/制品厂,运动鞋面革,剥离强度≥33N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥20747次；-20℃耐折≥5万次,33,6,20747,ZDHC MRSL合规；bluesign(可选),19.6,15,2024-11-15,已转化,HD-W110,RD-2026-001
RQ-2025-028,嘉兴华宇合成革有限公司,薄膜/制品厂,运动鞋面革,剥离强度≥37N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥16369次；-20℃耐折≥5万次,37,6,16369,低DMF、ZDHC MRSL合规；主机厂认可(汽车),22.2,30,2025-09-06,送样中,HD-W110,
RQ-2025-029,泉州永盛合成革有限公司,超纤革厂,服装革,剥离强度≥24N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥9692次；-10℃耐折≥3万次,24,3,9692,高透湿、水性化、手感柔软；GRS(回收),16.8,10,2025-04-08,搁置,,
RQ-2024-030,成都鑫隆超纤材料有限公司,超纤革厂,运动鞋面革,剥离强度≥40N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥16277次；-20℃耐折≥5万次,40,5,16277,ZDHC MRSL合规；GRS(回收),21.1,20,2025-07-14,评估中,,
RQ-2025-031,嘉兴华宇合成革有限公司,合成革厂,箱包革,剥离强度≥28N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥15848次；-10℃耐折≥5万次,28,4,15848,低气味；GRS(回收),18.0,20,2025-07-30,送样中,HD-S306,
RQ-2025-032,桐乡永盛革业有限公司,合成革厂,运动鞋面革,剥离强度≥36N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥20307次；-20℃耐折≥5万次,36,5,20307,ZDHC MRSL合规、低DMF；ZDHC MRSL,21.4,50,2024-09-13,送样中,HD-W110,
RQ-2024-033,丽水森源合成革有限公司,汽车内饰件厂,球革,剥离强度≥31N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥23641次；-20℃耐折≥5万次,31,4,23641,高回弹；ZDHC MRSL,18.6,30,2025-11-15,已转化,HD-W111,RD-2026-004
RQ-2026-034,成都鑫隆超纤材料有限公司,超纤革厂,箱包革,剥离强度≥26N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥12892次；-10℃耐折≥5万次,26,5,12892,低气味；主机厂认可(汽车),14.4,120,2026-02-01,已转化,HD-G203,
RQ-2025-035,丽水瑞尔革业有限公司,汽车内饰件厂,箱包革,剥离强度≥27N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥17108次；-10℃耐折≥5万次,27,5,17108,低气味；REACH SVHC,16.6,80,2026-04-20,已转化,HD-W105,
RQ-2025-036,嘉兴联创超纤材料有限公司,合成革厂,球革,剥离强度≥34N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥25859次；-20℃耐折≥5万次,34,5,25859,高回弹；ZDHC MRSL,22.4,120,2025-02-09,送样中,HD-W111,
RQ-2024-037,海宁恒丰超纤材料有限公司,合成革厂,沙发革,剥离强度≥21N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥26222次；常温耐折≥10万次,21,6,26222,阻燃(可选)；bluesign(可选),14.6,20,2025-10-05,搁置,,
RQ-2025-038,成都美佳合成革有限公司,合成革厂,鞋面革,剥离强度≥33N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥12193次；-20℃耐折≥3万次,33,5,12193,低DMF；无特殊要求,19.1,200,2025-01-22,已转化,HD-G201,RD-2025-007
RQ-2026-039,嘉兴天成新材料有限公司,制鞋厂(直供),沙发革,剥离强度≥22N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥22699次；常温耐折≥10万次,22,5,22699,低气味、阻燃(可选)；OEKO-TEX Standard 100,12.7,120,2025-06-28,评估中,,
RQ-2025-040,成都鑫隆超纤材料有限公司,制鞋厂(直供),密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；OEKO-TEX Standard 100,26.3,20,2024-12-03,搁置,,
RQ-2025-041,丽水瑞尔革业有限公司,贸易商,球革,剥离强度≥26N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥19257次；-20℃耐折≥5万次,26,4,19257,高回弹；主机厂认可(汽车),18.5,120,2026-02-09,搁置,,
RQ-2026-042,成都鑫隆超纤材料有限公司,合成革厂,沙发革,剥离强度≥30N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥26241次；常温耐折≥10万次,30,6,26241,低气味、阻燃(可选)；GRS(回收),16.0,20,2026-06-24,评估中,,
RQ-2024-043,桐乡鑫隆超纤材料有限公司,贸易商,汽车内饰革,剥离强度≥35N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥32475次；-30℃耐折≥5万次,35,6,32475,低VOC低气味、雾化达标；ZDHC MRSL,33.4,10,2025-08-15,评估中,,
RQ-2025-044,嘉兴天成新材料有限公司,薄膜/制品厂,沙发革,剥离强度≥26N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥28749次；常温耐折≥10万次,26,5,28749,阻燃(可选)、低气味；REACH SVHC,17.0,50,2024-09-18,已转化,HD-S304,RD-2025-005
RQ-2026-045,丽水森源合成革有限公司,汽车内饰件厂,汽车内饰革,剥离强度≥28N/3cm；耐水解≥8周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥34548次；-30℃耐折≥5万次,28,8,34548,耐水解6周以上、雾化达标；ZDHC MRSL,44.1,15,2025-08-21,已转化,HD-W108,RD-2025-009
RQ-2026-046,丽水瑞尔革业有限公司,制鞋厂(直供),汽车内饰革,剥离强度≥26N/3cm；耐水解≥7周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥25249次；-30℃耐折≥5万次,26,7,25249,雾化达标、低VOC低气味、耐水解6周以上；REACH SVHC,29.7,20,2026-06-01,评估中,,
RQ-2024-047,桐乡恒丰合成革有限公司,合成革厂,密封件,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐油；GRS(回收),27.0,5,2025-10-04,评估中,,
RQ-2026-048,丽水瑞尔革业有限公司,超纤革厂,薄膜,耐水解≥5周(70℃×95%RH强度保持率≥70%)；低温柔性,,5,,高透明、耐黄变；GRS(回收),24.0,200,2025-02-26,评估中,,
RQ-2026-049,泉州永盛合成革有限公司,汽车内饰件厂,球革,剥离强度≥35N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥25217次；-20℃耐折≥5万次,35,4,25217,高回弹；ZDHC MRSL,16.4,15,2025-05-05,搁置,,
RQ-2024-050,嘉兴天成新材料有限公司,薄膜/制品厂,密封件,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐油；OEKO-TEX Standard 100,32.3,200,2026-04-15,评估中,,
RQ-2025-051,东莞嘉禾超纤材料有限公司,薄膜/制品厂,薄膜,耐水解≥5周(70℃×95%RH强度保持率≥70%)；低温柔性,,5,,高透明；OEKO-TEX Standard 100,30.7,200,2025-09-26,已转化,HD-T502,RD-2024-005
RQ-2024-052,丽水瑞尔超纤材料有限公司,贸易商,球革,剥离强度≥26N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥17007次；-20℃耐折≥5万次,26,5,17007,高回弹；REACH SVHC,20.2,10,2026-05-27,评估中,,
RQ-2024-053,丽水瑞尔超纤材料有限公司,制鞋厂(直供),薄膜,耐水解≥4周(70℃×95%RH强度保持率≥70%)；低温柔性,,4,,高透明、耐黄变；无特殊要求,30.2,120,2025-06-21,送样中,HD-T506,
RQ-2024-054,丽水瑞尔超纤材料有限公司,汽车内饰件厂,球革,剥离强度≥25N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥17713次；-20℃耐折≥5万次,25,5,17713,高回弹；GRS(回收),19.6,15,2026-04-15,已转化,HD-W111,RD-2025-007
RQ-2024-055,桐乡永盛革业有限公司,贸易商,鞋面革,剥离强度≥33N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥14292次；-20℃耐折≥3万次,33,5,14292,低DMF；bluesign(可选),17.2,5,2025-03-16,评估中,,
RQ-2025-056,桐乡永盛革业有限公司,贸易商,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；REACH SVHC,32.4,15,2026-03-04,搁置,,
RQ-2024-057,泉州永盛合成革有限公司,超纤革厂,服装革,剥离强度≥24N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥10026次；-10℃耐折≥3万次,24,4,10026,水性化；无特殊要求,16.4,20,2026-03-28,送样中,HD-W109,
RQ-2024-058,桐乡鑫隆超纤材料有限公司,贸易商,鞋面革,剥离强度≥27N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥18816次；-20℃耐折≥3万次,27,5,18816,低DMF；bluesign(可选),21.6,200,2024-12-11,已转化,HD-W103,RD-2026-001
RQ-2026-059,桐乡嘉禾合成革有限公司,超纤革厂,密封件,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐油；GRS(回收),35.3,80,2025-03-29,已转化,HD-T504,RD-2026-002
RQ-2025-060,桐乡鑫隆超纤材料有限公司,制鞋厂(直供),密封件,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐油；无特殊要求,32.1,20,2024-09-04,搁置,,
RQ-2024-061,桐乡鑫隆超纤材料有限公司,制鞋厂(直供),汽车内饰革,剥离强度≥29N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥31236次；-30℃耐折≥5万次,29,6,31236,低VOC低气味、耐水解6周以上、雾化达标；主机厂认可(汽车),29.5,30,2025-12-04,评估中,,
RQ-2026-062,晋江森源合成革有限公司,合成革厂,电子包装革,剥离强度≥30N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥8103次；-10℃耐折≥3万次,30,3,8103,外观细腻；无特殊要求,20.9,80,2026-05-03,评估中,,
RQ-2024-063,桐乡永盛革业有限公司,薄膜/制品厂,箱包革,剥离强度≥26N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥18483次；-10℃耐折≥5万次,26,4,18483,低气味；bluesign(可选),13.2,30,2026-07-14,评估中,,
RQ-2026-064,东莞恒丰超纤材料有限公司,汽车内饰件厂,运动鞋面革,剥离强度≥37N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥22093次；-20℃耐折≥5万次,37,5,22093,ZDHC MRSL合规、低DMF；REACH SVHC,19.2,80,2025-05-14,送样中,HD-W110,
RQ-2025-065,桐乡永盛革业有限公司,超纤革厂,球革,剥离强度≥27N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥17977次；-20℃耐折≥5万次,27,4,17977,高回弹；bluesign(可选),17.8,80,2025-08-28,送样中,HD-W111,
RQ-2024-066,丽水瑞尔超纤材料有限公司,合成革厂,薄膜,耐水解≥4周(70℃×95%RH强度保持率≥70%)；低温柔性,,4,,高透明；bluesign(可选),28.0,15,2026-06-22,评估中,,
RQ-2024-067,桐乡嘉禾合成革有限公司,汽车内饰件厂,鞋底,耐水解≥3周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,3,,耐磨DIN≤70mm³；无特殊要求,28.6,80,2026-08-14,评估中,,
RQ-2024-068,丽水嘉禾合成革有限公司,制鞋厂(直供),鞋底,耐水解≥4周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,4,,耐磨DIN≤70mm³；REACH SVHC,21.2,5,2026-02-20,搁置,,
RQ-2024-069,丽水瑞尔超纤材料有限公司,贸易商,沙发革,剥离强度≥21N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥25603次；常温耐折≥10万次,21,5,25603,低气味、阻燃(可选)；主机厂认可(汽车),15.1,15,2025-08-22,评估中,,
RQ-2025-070,丽水瑞尔超纤材料有限公司,汽车内饰件厂,沙发革,剥离强度≥28N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥23414次；常温耐折≥10万次,28,6,23414,阻燃(可选)；REACH SVHC,13.0,200,2026-08-02,送样中,HD-W106,
RQ-2026-071,泉州永盛合成革有限公司,制鞋厂(直供),电子包装革,剥离强度≥21N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥12973次；-10℃耐折≥3万次,21,3,12973,耐折痕、外观细腻；无特殊要求,20.3,10,2024-12-16,搁置,,
RQ-2026-072,桐乡嘉禾合成革有限公司,汽车内饰件厂,电子包装革,剥离强度≥23N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥9448次；-10℃耐折≥3万次,23,3,9448,耐折痕、外观细腻；ZDHC MRSL,16.2,20,2025-07-23,送样中,HD-G208,
RQ-2026-073,桐乡嘉禾合成革有限公司,制鞋厂(直供),管材,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐压；OEKO-TEX Standard 100,32.5,5,2024-12-02,已转化,HD-T505,RD-2024-007
RQ-2026-074,嘉兴联创超纤材料有限公司,合成革厂,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；bluesign(可选),25.4,5,2025-04-23,评估中,,
RQ-2026-075,晋江联创合成革有限公司,合成革厂,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；GRS(回收),31.0,10,2025-01-08,已转化,HD-T504,RD-2024-004
RQ-2025-076,海宁恒丰超纤材料有限公司,制鞋厂(直供),汽车内饰革,剥离强度≥32N/3cm；耐水解≥7周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥36714次；-30℃耐折≥5万次,32,7,36714,耐水解6周以上；GRS(回收),43.9,5,2025-04-18,已转化,HD-G207,RD-2024-010
RQ-2024-077,泉州嘉禾合成革有限公司,薄膜/制品厂,鞋底,耐水解≥4周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,4,,耐磨DIN≤70mm³；GRS(回收),22.8,15,2026-04-02,评估中,,
RQ-2026-078,泉州嘉禾合成革有限公司,汽车内饰件厂,管材,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐压；ZDHC MRSL,31.0,30,2025-08-29,评估中,,
RQ-2024-079,佛山天成超纤材料有限公司,制鞋厂(直供),沙发革,剥离强度≥30N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥29843次；常温耐折≥10万次,30,6,29843,低气味、阻燃(可选)；无特殊要求,12.5,50,2025-03-27,送样中,HD-S304,
RQ-2025-080,泉州嘉禾合成革有限公司,薄膜/制品厂,电子包装革,剥离强度≥26N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥8494次；-10℃耐折≥3万次,26,3,8494,耐折痕、外观细腻；无特殊要求,23.5,10,2024-10-25,送样中,HD-G208,
RQ-2025-081,桐乡恒丰合成革有限公司,制鞋厂(直供),电子包装革,剥离强度≥23N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥8010次；-10℃耐折≥3万次,23,4,8010,耐折痕、外观细腻；ZDHC MRSL,21.0,20,2025-04-05,评估中,,
RQ-2024-082,晋江联创合成革有限公司,合成革厂,鞋底,耐水解≥4周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,4,,耐磨DIN≤70mm³；无特殊要求,29.4,20,2024-10-09,搁置,,
RQ-2026-083,海宁天成超纤材料有限公司,汽车内饰件厂,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；OEKO-TEX Standard 100,31.2,30,2024-11-17,评估中,,
RQ-2025-084,桐乡鑫隆超纤材料有限公司,合成革厂,球革,剥离强度≥25N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥20505次；-20℃耐折≥5万次,25,5,20505,高回弹；无特殊要求,23.9,10,2026-04-16,送样中,HD-W111,
RQ-2025-085,丽水森源新材料有限公司,汽车内饰件厂,沙发革,剥离强度≥22N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥28710次；常温耐折≥10万次,22,6,28710,阻燃(可选)；GRS(回收),13.7,200,2026-04-17,送样中,HD-S304,
RQ-2024-086,泉州永盛合成革有限公司,超纤革厂,运动鞋面革,剥离强度≥39N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥16958次；-20℃耐折≥5万次,39,5,16958,ZDHC MRSL合规、低DMF；ZDHC MRSL,23.5,200,2026-03-04,评估中,,
RQ-2024-087,海宁天成合成革有限公司,贸易商,沙发革,剥离强度≥21N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥22103次；常温耐折≥10万次,21,5,22103,低气味；ZDHC MRSL,12.1,20,2025-04-03,评估中,,
RQ-2026-088,嘉兴华宇合成革有限公司,薄膜/制品厂,箱包革,剥离强度≥25N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥17826次；-10℃耐折≥5万次,25,5,17826,低气味；REACH SVHC,18.2,80,2024-11-10,送样中,HD-N401,
RQ-2024-089,海宁恒丰超纤材料有限公司,超纤革厂,管材,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐压；ZDHC MRSL,32.6,10,2025-12-30,搁置,,
RQ-2025-090,嘉兴华宇合成革有限公司,制鞋厂(直供),箱包革,剥离强度≥26N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥12617次；-10℃耐折≥5万次,26,5,12617,低气味；主机厂认可(汽车),17.3,50,2025-05-26,评估中,,
RQ-2025-091,丽水瑞尔超纤材料有限公司,合成革厂,汽车内饰革,剥离强度≥25N/3cm；耐水解≥7周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥27188次；-30℃耐折≥5万次,25,7,27188,雾化达标、低VOC低气味、耐水解6周以上；无特殊要求,37.9,80,2025-09-05,已转化,HD-S303,RD-2024-002
RQ-2025-092,泉州嘉禾合成革有限公司,贸易商,汽车内饰革,剥离强度≥25N/3cm；耐水解≥7周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥31115次；-30℃耐折≥5万次,25,7,31115,低VOC低气味、雾化达标；OEKO-TEX Standard 100,37.9,200,2025-10-08,送样中,HD-W108,
RQ-2024-093,海宁天成合成革有限公司,贸易商,汽车内饰革,剥离强度≥29N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥33311次；-30℃耐折≥5万次,29,6,33311,低VOC低气味；主机厂认可(汽车),37.0,10,2025-02-02,评估中,,
RQ-2026-094,嘉兴联创超纤材料有限公司,贸易商,管材,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐压；无特殊要求,28.1,120,2025-09-16,已转化,HD-T505,
RQ-2025-095,嘉兴联创超纤材料有限公司,薄膜/制品厂,薄膜,耐水解≥5周(70℃×95%RH强度保持率≥70%)；低温柔性,,5,,高透明；OEKO-TEX Standard 100,31.6,80,2025-10-25,送样中,HD-T506,
RQ-2026-096,海宁恒丰超纤材料有限公司,薄膜/制品厂,密封件,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐油；REACH SVHC,24.3,200,2025-01-19,送样中,HD-T504,
